make -C bluesim --no-print-directory run
LD_PRELOAD=libSegFault.so SEGFAULT_USE_ALTSTACK=1 SEGFAULT_OUTPUT_NAME=bin/bsimexe-segv-output.txt  ./bin/ubuntu.exe ; retcode=$?; exit $retcode
Start testbench:
XsimTop starting
Request 0000040c 00000513
Request 00000410 00177793
Request 00000414 fff68693
Request 00000418 00078463
Request 0000041c 00b50533
Request 00000420 40175713
Request 00000424 00159593
Request 00000428 fe0694e3
Request 0000042c 00008067
Request 00000430 01051793
Request 00000434 00020737
Request 00000438 0107d793
Request 0000043c 00e7e7b3
Request 00000440 78079073
Request 00000444 000307b7
Request 00000448 01055513
Request 0000044c 00f56533
Request 00000450 78051073
Request 00000454 00008067
Request 00000458 01051513
Request 0000045c 000107b7
Request 00000460 01055513
Request 00000464 00f56533
Request 00000468 78051073
Request 0000046c 00008067
Request 00000470 ffc57793
Request 00000474 0007a683
Request 00000478 00351713
Request 0000047c 01877713
Request 00000480 0ff00793
Request 00000484 00e797b3
Request 00000488 00d7f7b3
Request 0000048c 00e7d7b3
Request 00000490 04078063
Request 00000494 00010637
Request 00000498 fff60813
Request 0000049c 0ff00593
Request 000004a0 0107f7b3
Request 000004a4 00c7e7b3
Request 000004a8 78079073
Request 000004ac 00150513
Request 000004b0 ffc57793
Request 000004b4 0007a683
Request 000004b8 00351713
Request 000004bc 01877713
Request 000004c0 00e597b3
Request 000004c4 00d7f7b3
Request 000004c8 00e7d7b3
Request 000004cc fc079ae3
Request 000004d0 00008067
Request 000004d4 00261613
Request 000004d8 00259593
Request 000004dc 00b685b3
Request 000004e0 00c687b3
Request 000004e4 0005a603
Request 000004e8 0007a583
Request 000004ec 02000713
Request 000004f0 00000813
Request 000004f4 00167793
Request 000004f8 fff70713
Request 000004fc 00078463
Request 00000500 00b80833
Request 00000504 00165613
Request 00000508 00159593
Request 0000050c fe0714e3
Request 00000510 00251793
Request 00000514 00f686b3
Request 00000518 0106a023
Request 0000051c 00008067
Request 00000520 01051793
Request 00000524 0107d793
Request 00000528 78079073
Request 0000052c 0000006f
Request 00000530 00000893
Request 00000534 00000073
Request 00000538 00008067
Request 0000053c 00100893
Request 00000540 00000073
Request 00000544 00008067
Request 00000548 00200893
Request 0000054c 00000073
Request 00000550 00008067
Request 00000554 00300893
Request 00000558 00000073
Request 0000055c 00008067
Request 00000560 00200793
Request 00000564 04f50063
Request 00000568 00800713
Request 0000056c 00e50863
Request 00000570 00100793
Request 00000574 78079073
Request 00000578 0000006f
Request 0000057c 04462683
Request 00000580 02862703
Request 00000584 04068463
Request 00000588 0cf68e63
Request 0000058c 00100793
Request 00000590 0af68663
Request 00000594 00300613
Request 00000598 0ec68263
Request 0000059c 78079073
Request 000005a0 0000006f
Request 000005a4 0005a503
Request 000005a8 fe0077b7
Request 000005ac 07f78793
Request 000005b0 02000737
